bchcity,bchst,bchzip
Agawam,MA,1001
Amherst,MA,1002
Belchertown,MA,1007
Chicopee,MA,1013
Easthampton,MA,1027
East Longmeadow,MA,1028
Feeding Hills,MA,1030
Hadley,MA,1035
Holyoke,MA,1040
